"2019/04/01","april.eml","eur 433.78 køb af tasker","Udgifter:Direkte omkostninger u/moms","","3231.661",""," Filename: 202001045e110dcb8fe90_eur_433.78_kb_af_tasker.trans\n TransID: 0"
"2019/04/01","april.eml","eur 433.78 køb af tasker","Passiver:Andreas Jensen","","-3231.661",""," Filename: 202001045e110dcb8fe90_eur_433.78_kb_af_tasker.trans\n TransID: 1"
"2019/04/01","CSV-5e0f73b18af82","VÃ¦vede labels","Egenkapital:Mellemregning","","-2562.5",""," Filename: vvede_labels_20190401-5e0f73b18af82.trans\n TransID: 0"
"2019/04/01","CSV-5e0f73b18af82","VÃ¦vede labels","Udgifter:Direkte omkostninger:Diverse","","2050",""," Filename: vvede_labels_20190401-5e0f73b18af82.trans\n TransID: 1"
"2019/04/01","CSV-5e0f73b18af82","VÃ¦vede labels","Passiver:Moms:Købsmoms","","512.5",""," Filename: vvede_labels_20190401-5e0f73b18af82.trans\n TransID: virt"
"2019/04/09","CSV-5e0f73b189673","VDK GOOGLE*GOOGLE STORAGE","Egenkapital:Mellemregning","","-17",""," Filename: vdk_googlegoogle_storage_20190409-5e0f73b189673.trans\n TransID: 0"
"2019/04/09","CSV-5e0f73b189673","VDK GOOGLE*GOOGLE STORAGE","Udgifter:Administration:Edb","","13.6",""," Filename: vdk_googlegoogle_storage_20190409-5e0f73b189673.trans\n TransID: 1"
"2019/04/09","CSV-5e0f73b189673","VDK GOOGLE*GOOGLE STORAGE","Passiver:Moms:Købsmoms","","3.4",""," Filename: vdk_googlegoogle_storage_20190409-5e0f73b189673.trans\n TransID: virt"
"2019/04/15","CSV-5e0f73b187d20","VDK SHOPIFY * 62347376","Egenkapital:Mellemregning","","-49.68",""," Filename: vdk_shopify_62347376_20190415-5e0f73b187d20.trans\n TransID: 0"
"2019/04/15","CSV-5e0f73b187d20","VDK SHOPIFY * 62347376","Udgifter:Administration:Edb","","39.744",""," Filename: vdk_shopify_62347376_20190415-5e0f73b187d20.trans\n TransID: 1"
"2019/04/15","CSV-5e0f73b187d20","VDK SHOPIFY * 62347376","Passiver:Moms:Købsmoms","","9.936",""," Filename: vdk_shopify_62347376_20190415-5e0f73b187d20.trans\n TransID: virt"
"2019/04/16","CSV-5e0f73b186592","VDK SHOPIFY * 62384370","Egenkapital:Mellemregning","","-2023.56",""," Filename: vdk_shopify_62384370_20190416-5e0f73b186592.trans\n TransID: 0"
"2019/04/16","CSV-5e0f73b186592","VDK SHOPIFY * 62384370","Udgifter:Administration:Edb","","1618.848",""," Filename: vdk_shopify_62384370_20190416-5e0f73b186592.trans\n TransID: 1"
"2019/04/16","CSV-5e0f73b186592","VDK SHOPIFY * 62384370","Passiver:Moms:Købsmoms","","404.712",""," Filename: vdk_shopify_62384370_20190416-5e0f73b186592.trans\n TransID: virt"
"2019/04/24","CSV-5e0f73b183c99","DK BILLY APS","Egenkapital:Mellemregning","","-243.75",""," Filename: dk_billy_aps_20190424-5e0f73b183c99.trans\n TransID: 0"
"2019/04/24","CSV-5e0f73b183c99","DK BILLY APS","Udgifter:Administration:Edb","","195",""," Filename: dk_billy_aps_20190424-5e0f73b183c99.trans\n TransID: 1"
"2019/04/24","CSV-5e0f73b183c99","DK BILLY APS","Passiver:Moms:Købsmoms","","48.75",""," Filename: dk_billy_aps_20190424-5e0f73b183c99.trans\n TransID: virt"
"2019/04/26","april.eml","EUR 249.78 Køb af tasker","Udgifter:Direkte omkostninger u/moms","","1862.78",""," Filename: 202001045e110c0ee9a12_eur_249.78_kb_af_tasker.trans\n TransID: 0"
"2019/04/26","april.eml","EUR 249.78 Køb af tasker","Passiver:Andreas Jensen","","-1862.78",""," Filename: 202001045e110c0ee9a12_eur_249.78_kb_af_tasker.trans\n TransID: 1"
"2019/04/30","CSV-5e0f73b182497","DK PICKANDPACK APS","Egenkapital:Mellemregning","","-553.75",""," Filename: dk_pickandpack_aps_20190430-5e0f73b182497.trans\n TransID: 0"
"2019/04/30","CSV-5e0f73b182497","DK PICKANDPACK APS","Udgifter:Direkte omkostninger:Pakkeri","","443",""," Filename: dk_pickandpack_aps_20190430-5e0f73b182497.trans\n TransID: 1"
"2019/04/30","CSV-5e0f73b182497","DK PICKANDPACK APS","Passiver:Moms:Købsmoms","","110.75",""," Filename: dk_pickandpack_aps_20190430-5e0f73b182497.trans\n TransID: virt"
"2019/05/01","t-shirts maj.eml","t-shirts GBP 111.36","Udgifter:Direkte omkostninger u/moms","","974.77",""," Filename: 202001045e110d247f921_tshirts_gbp_111.36.trans\n TransID: 0"
"2019/05/01","t-shirts maj.eml","t-shirts GBP 111.36","Passiver:Andreas Jensen","","-974.77",""," Filename: 202001045e110d247f921_tshirts_gbp_111.36.trans\n TransID: 1"
"2019/05/04","maj.eml","EUR 310.98 KMessenger Bags","Udgifter:Direkte omkostninger u/moms","","2316.95",""," Filename: 202001045e110b6b08de7_eur_310.98_kmessenger_bags.trans\n TransID: 0"
"2019/05/04","maj.eml","EUR 310.98 KMessenger Bags","Passiver:Andreas Jensen","","-2316.95",""," Filename: 202001045e110b6b08de7_eur_310.98_kmessenger_bags.trans\n TransID: 1"
"2019/05/09","CSV-5e0f73b17fa3c","VDK GOOGLE *Google Storage","Egenkapital:Mellemregning","","-17",""," Filename: vdk_google_google_storage_20190509-5e0f73b17fa3c.trans\n TransID: 0"
"2019/05/09","CSV-5e0f73b17fa3c","VDK GOOGLE *Google Storage","Udgifter:Administration:Edb","","13.6",""," Filename: vdk_google_google_storage_20190509-5e0f73b17fa3c.trans\n TransID: 1"
"2019/05/09","CSV-5e0f73b17fa3c","VDK GOOGLE *Google Storage","Passiver:Moms:Købsmoms","","3.4",""," Filename: vdk_google_google_storage_20190509-5e0f73b17fa3c.trans\n TransID: virt"
"2019/06/03","CSV-5e0f73b17e1a8","CH2012369 2019-06-03","Egenkapital:Mellemregning","","9245.52",""," Filename: ch2012369_20190603_20190603-5e0f73b17e1a8.trans\n TransID: 0"
"2019/06/03","CSV-5e0f73b17e1a8","CH2012369 2019-06-03","Indtægter:Onlinesalg","","-7396.416",""," Filename: ch2012369_20190603_20190603-5e0f73b17e1a8.trans\n TransID: 1"
"2019/06/03","CSV-5e0f73b17e1a8","CH2012369 2019-06-03","Passiver:Moms:Salgsmoms","","-1849.104",""," Filename: ch2012369_20190603_20190603-5e0f73b17e1a8.trans\n TransID: virt"
"2019/06/06","CSV-5e0f73b17c931","CH2012369 2019-06-06","Egenkapital:Mellemregning","","7436.83",""," Filename: ch2012369_20190606_20190606-5e0f73b17c931.trans\n TransID: 0"
"2019/06/06","CSV-5e0f73b17c931","CH2012369 2019-06-06","Indtægter:Onlinesalg","","-5949.464",""," Filename: ch2012369_20190606_20190606-5e0f73b17c931.trans\n TransID: 1"
"2019/06/06","CSV-5e0f73b17c931","CH2012369 2019-06-06","Passiver:Moms:Salgsmoms","","-1487.366",""," Filename: ch2012369_20190606_20190606-5e0f73b17c931.trans\n TransID: virt"
"2019/06/07","juni.eml","EUR 562.98 tasker","Udgifter:Direkte omkostninger u/moms","","4194.35",""," Filename: 202001045e110c467fef3_eur_562.98_tasker.trans\n TransID: 0"
"2019/06/07","juni.eml","EUR 562.98 tasker","Passiver:Andreas Jensen","","-4194.35",""," Filename: 202001045e110c467fef3_eur_562.98_tasker.trans\n TransID: 1"
"2019/06/13","CSV-5e0f73b17afae","CH2012369 2019-06-13","Egenkapital:Mellemregning","","3420.08",""," Filename: ch2012369_20190613_20190613-5e0f73b17afae.trans\n TransID: 0"
"2019/06/13","CSV-5e0f73b17afae","CH2012369 2019-06-13","Indtægter:Onlinesalg","","-2736.064",""," Filename: ch2012369_20190613_20190613-5e0f73b17afae.trans\n TransID: 1"
"2019/06/13","CSV-5e0f73b17afae","CH2012369 2019-06-13","Passiver:Moms:Salgsmoms","","-684.016",""," Filename: ch2012369_20190613_20190613-5e0f73b17afae.trans\n TransID: virt"
"2019/06/17","CSV-5e0f73b17972c","VD SHOPIFY * 64807345","Egenkapital:Mellemregning","","-95.71",""," Filename: vd_shopify_64807345_20190617-5e0f73b17972c.trans\n TransID: 0"
"2019/06/17","CSV-5e0f73b17972c","VD SHOPIFY * 64807345","Udgifter:Administration:Edb","","76.568",""," Filename: vd_shopify_64807345_20190617-5e0f73b17972c.trans\n TransID: 1"
"2019/06/17","CSV-5e0f73b17972c","VD SHOPIFY * 64807345","Passiver:Moms:Købsmoms","","19.142",""," Filename: vd_shopify_64807345_20190617-5e0f73b17972c.trans\n TransID: virt"
"2019/06/20","CSV-5e0f73b177ec8","CH2012369 2019-06-20","Egenkapital:Mellemregning","","5200.46",""," Filename: ch2012369_20190620_20190620-5e0f73b177ec8.trans\n TransID: 0"
